test,0,url,timestamp,,
Przestronne mieszkanie w sercu Saskiej Kępy,520000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/przestronne-mieszkanie-w-sercu-saskiej-kepy/1007307125430912407250109,2020-05-16 18:30,,
Super inwestycja! Cesja!,365000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/super-inwestycja-cesja/1007307060830912407250109,2020-05-16 18:30,,
"OKAZJA, komfortowe 2 pokoje - Saska Kępa",529000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/okazja-komfortowe-2-pokoje-+-saska-kepa/1007307060230912407250109,2020-05-16 17:30,,
2 pokoje przy Szaserów!,378000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-przy-szaserow/1007307010570912407250109,2020-05-16 17:30,,
2 pokoje blisko Parku Nad Balatonem!,549900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-blisko-parku-nad-balatonem/1007306991510912407250109,2020-05-16 17:30,,
3 POKOJE na Pradze Południe!,450000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-na-pradze-poludnie/1007306930830912407250109,2020-05-16 17:30,,
2 pokoje! Stare jak nowe! Kamienica!,444900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-stare-jak-nowe-kamienica/1007306781700912407250109,2020-05-16 16:30,,
2 pokoje blisko parku!,430000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-blisko-parku/1007306930010912407250109,2020-05-16 16:30,,
2 pokoje na Pradze - Południe!,460000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-na-pradze-+-poludnie/1007306710880912407250109,2020-05-16 16:30,,
Ładne 2 pokoje na Pradze!,425000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/ladne-2-pokoje-na-pradze/1007306710720912407250109,2020-05-16 16:30,,
3 pokoje przy stacji metra!,549000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-przy-stacji-metra/1007306710590912407250109,2020-05-16 16:30,,
3 pokoje z balkonem na Pradze!,484000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-z-balkonem-na-pradze/1007306783060912407250109,2020-05-16 16:30,,
3 pokoje na Pradze-Południe.,549000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-na-pradze+poludnie/1007306512650912407250109,2020-05-16 15:30,,
2 pokoje w Soho Factory - Praga Południe,539000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-w-soho-factory-+-praga-poludnie/1007306512030912407250109,2020-05-16 14:30,,
2 pokoje na Saskiej Kępie!,448500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-na-saskiej-kepie/1007306372550912407250109,2020-05-16 14:30,,
3 pokoje ! Saska Kępa!,479000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-saska-kepa/1007307802130912407250109,2020-05-16 11:54,,
2 pokoje z garderobą i balkonem na Gocławiu!,365000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-z-garderoba-i-balkonem-na-goclawiu/1007307750610912407250109,2020-05-16 00:54,,
2 pokoje na Pradze Południe!,420000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-na-pradze-poludnie/1007307750550912407250109,2020-05-15 16:54,,
3 POKOJE na Saskiej Kępie!,520000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-na-saskiej-kepie/1007307625620912407250109,2020-05-16 21:54,,
2 pokoje w stanie deweloperskim! III kw. 2020!,364900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-w-stanie-deweloperskim-iii-kw-2020/1007307583810912407250109,2020-05-16 21:54,,
2 pokoje do zamieszkania!,455000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-do-zamieszkania/1007307583500912407250109,2020-05-16 20:54,,
2 pokoje w cichej okolicy! Blisko parku!,414900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-w-cichej-okolicy-blisko-parku/1007307625230912407250109,2020-05-16 20:54,,
Lokal usługowy! Grochów!,525000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/lokal-uslugowy-grochow/1007307583140912407250109,2020-05-16 20:54,,
Atrakcyjne mieszkanie Pradze Południe.,330000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/atrakcyjne-mieszkanie-pradze-poludnie/1007307433800912407250109,2020-05-16 20:54,,
Osiedle Ateńska, Saska Kępa, balkon,450000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/osiedle-atenska-saska-kepa-balkon/1007308099750911293847109,2020-05-16 20:59
2 pokoje w KAMIENICY na Pradze!,465000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-w-kamienicy-na-pradze/1007308050330912407250109,2020-05-17 03:59,,
2 pokoje w kamienicy na Pradze!,339000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-w-kamienicy-na-pradze/1007308026810912407250109,2020-05-17 03:59,,
Apartament ! Gocław!,356000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/apartament-goclaw/1007308055070912407250109,2020-05-17 03:59,,
"Wyremontowane, 3pokojowe przy Centralnej Bibliotece Wojskowej.",440000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/wyremontowane-3pokojowe-przy-centralnej-bibliotece-wojskowej/1007307997980912407250109,2020-05-17 03:59,,
2 pokoje na Pradze-Południe!,448000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-na-pradze+poludnie/1007308026540912407250109,2020-05-17 03:59,,
2 pokoje przy parku! Po remoncie!,394900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-przy-parku-po-remoncie/1007307997710912407250109,2020-05-17 03:59,,
"3 pokoje na Pradze - Południe, BLISKO CENTRUM!",549000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-na-pradze-+-poludnie-blisko-centrum/1007308031070912407250109,2020-05-17 02:59,,
GOCŁAW 2 POKOJE JUGOSŁAWIANSKA 15 BEZPOSREDNIO ADRIA,519000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/goclaw-2-pokoje-jugoslawianska-15-bezposrednio-adria/1007308037020910787208009,2020-05-17 02:59,,
Dwupokojowe mieszkanie na Saskiej Kępie !,406500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/dwupokojowe-mieszkanie-na-saskiej-kepie/1007307953890912407250109,2020-05-17 02:59,,
2 pokojowe na GROCHOWIE.,420000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokojowe-na-grochowie/1007307997200912407250109,2020-05-17 02:59,,
2 pokoje przy parku - Gocław,550000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-przy-parku-+-goclaw/1007307993240912407250109,2020-05-17 01:59,,
1-pokojowe w stanie deweloperskim.,347000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/1+pokojowe-w-stanie-deweloperskim/1007307928990912407250109,2020-05-17 01:59,,
2 pokoje- Saska Kępa.,460000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje+-saska-kepa/1007307953460912407250109,2020-05-17 01:59,,
2 duże pokoje w starej kamienicy!,499900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-duze-pokoje-w-starej-kamienicy/1007307953260912407250109,2020-05-17 01:59,,
Grochów 2 pokoje do remontu !,339000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/grochow-2-pokoje-do-remontu/1007307967270912407250109,2020-05-17 01:59,,
3 pokoje w cichej okolicy! Po remoncie!,534900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-w-cichej-okolicy-po-remoncie/1007307951440912407250109,2020-05-17 01:59,,
Mieszkanie po generalnym remoncie ! Rondo Wiatraczna,443000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/mieszkanie-po-generalnym-remoncie-rondo-wiatraczna/1007307967240912407250109,2020-05-17 01:59,,
"1-pokojowe do remontu, w spokojnej okolicy!",345500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/1+pokojowe-do-remontu-w-spokojnej-okolicy/1007307928570912407250109,2020-05-17 00:59,,
2 pokoje blisko CH Promenada!,345900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-blisko-ch-promenada/1007307928550912407250109,2020-05-17 00:59,,
